"","subID","condition","Hz","frontal","central","parietal","occipital","ln_Hz","ln_frontal","ln_central","ln_parietal","ln_occipital"
"606","oa11","ec",5.982,1.22152,0.369166666666667,0.24618,0.205,1.78875496020776,0.200095984893119,-0.996507065730956,-1.40169230329999,-1.58474529984373
"607","oa11","ec",6.979,1.10066,0.316966666666667,0.21168,0.171733333333333,1.94290564003501,0.0959099998762925,-1.14895866310485,-1.55267957861549,-1.7618123928601
"608","oa11","ec",7.976,1.21068,0.484233333333333,0.2934,0.230266666666667,2.07643703265954,0.191182185226151,-0.725188394771409,-1.22621841327326,-1.46851722137772
"609","oa11","ec",8.973,1.69914,0.819666666666667,0.51172,0.5774,2.19422006831592,0.530122240707581,-0.198857525434054,-0.669977678533303,-0.549220011753302
"610","oa11","ec",9.97,3.99804,2.6453,1.90506,2.6609,2.29958058397375,1.38580424103066,0.97278448042862,0.644513504145666,0.978664411432215
"611","oa11","ec",10.967,3.1907,1.7996,1.31996,1.91453333333333,2.39489076377807,1.16024032846093,0.58756441798488,0.27760143310883,0.649473902769975
"612","oa11","ec",11.964,1.71016,0.7016,0.57998,0.6821,2.4819021407677,0.536586933388888,-0.354391837924164,-0.544761658794837,-0.382579004321464
"613","oa11","ec",12.961,1.15068,0.520866666666667,0.3931,0.353833333333333,2.56194484844124,0.140353071971453,-0.652261188087603,-0.933691246554322,-1.03892928650694
"614","oa11","ec",13.958,0.875,0.4002,0.292,0.227266666666667,2.63605282059496,-0.133531392624523,-0.915790856832504,-1.23100147671386,-1.48163120794644
"615","oa11","ec",14.955,0.80994,0.3826,0.29866,0.239933333333333,2.70504569208191,-0.210795108133346,-0.960765221975985,-1.20844947635301,-1.42739417200532
"616","oa11","ec",15.952,0.74398,0.370633333333333,0.2936,0.236333333333333,2.76958421321948,-0.295741126230795,-0.992542024941043,-1.22553698224178,-1.44251204111812
"617","oa11","ec",16.949,0.72984,0.3703,0.26982,0.2271,2.83020883503592,-0.314929946944918,-0.99344179106257,-1.31000020897147,-1.48236482987062
"618","oa11","ec",17.946,0.73572,0.322833333333333,0.24158,0.193233333333333,2.88736724887587,-0.30690566741954,-1.1306190848032,-1.420554597805,-1.64385683930456
"619","oa11","ec",18.943,0.68106,0.315866666666667,0.22122,0.206866666666667,2.94143447014614,-0.384104870986834,-1.15243509536562,-1.50859759750803,-1.57568081563597
"620","oa11","ec",19.94,0.55448,0.277,0.18446,0.1785,2.99272776453369,-0.589724541372408,-1.2837377727948,-1.69032264117456,-1.72316667776244
"621","oa11","ec",20.937,0.42888,0.193,0.14008,0.1389,3.04151792870312,-0.846578119462855,-1.64506509007725,-1.96554159100454,-1.97400102922184
"622","oa11","ec",21.934,0.42982,0.1888,0.12634,0.1286,3.08803794433802,-0.844388762585077,-1.66706702527074,-2.06877859351158,-2.05104846717862
"623","oa11","ec",22.931,0.43374,0.1939,0.12376,0.109133333333333,3.13248970690885,-0.835310002741876,-1.64041271673353,-2.08941107271733,-2.21518490271321
